Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Cuts-men,green-crew-elongated,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS_Clothing-2019-06-11_On_Model_23604.jpg?v=1561742536,3,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,green-crew-elongated,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS_Clothing-2019-06-11_On_Model_23621.jpg?v=1561742536,4,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,mountain-mist-crew-curve-hem,Mountain Mist Crew Curve-Hem,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>An elevated regular bottom cut but that has a slightly less elongated curve designed for everyday wear. Made from premium high stretch PYCA tri-blended fabric with wrinkle-free technology, long-lasting comfort, color retention, and buttery soft hand feel.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Height 6'0 wearing a size large. Runs true to size, but order size up if in-between sizes. This cut is fitted, Tailored in the right places but not too slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges (U.S. and Canada orders) are accepted on all undamaged and 'unused' items within 20 days of purchase. Both shipping and returns are free of charge.</sectionBody></section></sections>",Cuts-men,Shirts,"shirt, cuts, tee, t-shirt",,Title, Default Title,Link,https://cutsclothing.com/products/mountain-mist-crew-curve-hem,,,,1,,deny,manual,48,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/mountain-mist-crew-curve.jpg?v=1573066892,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Cuts-men,mountain-mist-crew-curve-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0496.jpg?v=1573066892,2,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,mountain-mist-crew-curve-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0494.jpg?v=1573066892,3,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,mountain-mist-crew-curve-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0451.jpg?v=1573066892,4,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,saddle-l-s-henley-split-hem,Saddle L/S Henley Split-Hem,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This long sleeve crew t-shirt is elevated with a Split-Hem bottom cut to deliver dynamic functionality. This casual yet stylish shape expresses a more distinctive look. Providing serious comfort without compromising appearance. Made from premium high stretch PYCA tri-blended fabric with wrinkle-free technology, long-lasting comfort, color retention, and buttery soft hand feel.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Height 6'0 wearing a size large. Runs true to size, but order size up if in-between sizes. This cut is fitted, Tailored in the right places but not too slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges (U.S. and Canada orders) are accepted on all undamaged and 'unused' items within 20 days of purchase. Both shipping and returns are free of charge.</sectionBody></section></sections>",Cuts-men,Shirts,"shirt, cuts, tee, t-shirt",,Title, Default Title,Link,https://cutsclothing.com/products/saddle-l-s-henley-split-hem,,,,1,,deny,manual,68,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/saddle-ls-henley-split.jpg?v=1573067332,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Cuts-men,saddle-l-s-henley-split-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0643.jpg?v=1573067332,2,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,saddle-l-s-henley-split-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0645.jpg?v=1573067332,3,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,saddle-l-s-henley-split-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0650.jpg?v=1573067332,4,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,green-v-neck-curve-hem,Heather Green V-Neck Curve-Hem,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This V-Neck T-Shirt has our signature Curve-Hem bottom Cut designed with a tailored fit.  This elevated classic Curve-Hem eliminates bunching around the waist designed for everyday wear. Made from premium high stretch PYCA tri-blended fabric with wrinkle-free technology, long-lasting comfort, color retention, and buttery soft hand feel.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Height 6'0 wearing a size large. Runs true to size, but order size up if in-between sizes. This cut is fitted, Tailored in the right places but not too slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges (U.S. and Canada orders) are accepted on all undamaged and 'unused' items within 20 days of purchase. Both shipping and returns are free of charge.</sectionBody></section></sections>",Cuts-men,Shirts,"shirt, cuts, tee, t-shirt",,Title, Default Title,Link,https://cutsclothing.com/products/green-v-neck-curve-hem,,,,1,,deny,manual,48,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/heather-green-v-neck-curve.jpg?v=1573678501,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Cuts-men,green-v-neck-curve-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0770.jpg?v=1573678501,2,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,green-v-neck-curve-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0779.jpg?v=1573678501,3,,,,,,,,,,,,,,,,,,,,,,
Cuts-men,slate-crew-curve-hem,Slate Crew Curve-Hem,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>An elevated regular bottom cut but that has a slightly less elongated curve designed for everyday wear. Made from premium high stretch PYCA tri-blended fabric with wrinkle-free technology, long-lasting comfort, color retention, and buttery soft hand feel.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Height 6'0 wearing a size large. Runs true to size, but order size up if in-between sizes. This cut is fitted, Tailored in the right places but not too slim.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges (U.S. and Canada orders) are accepted on all undamaged and 'unused' items within 20 days of purchase. Both shipping and returns are free of charge.</sectionBody></section></sections>",Cuts-men,Shirts,"shirt, cuts, tee, t-shirt",,Title, Default Title,Link,https://cutsclothing.com/products/slate-crew-curve-hem,,,,1,,deny,manual,48,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/slate-crew-curve_925b9425-23a0-4a84-86c1-7f08a862a5fb.jpg?v=1573679701,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Cuts-men,slate-crew-curve-hem,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1368/3463/products/CUTS-219-10-15_On-Model_Video_0580.jpg?v=1573679706,2,,,,,,,,,,,,,,,,,,,,,,
