Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Vuori-men,ripstop-climber-pant-charcoal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V412CCL_3.jpg?v=1562023640,3,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ripstop-climber-pant-charcoal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V412CCL_5.jpg?v=1562023640,4,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ripstop-climber-pant-charcoal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V412CCL_8.jpg?v=1562023640,5,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-navy-heather,Ponto Performance Pant | Navy Heather,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The softest performance sweatpants, the Ponto Pants feature a straight-leg modern fit and endless lightweight comfort. Soft, stretchy and buttery soft, you’ll be wearing these pants on the plane, around the house, and in and out of class. Great for traveling, yoga and chilling.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Orders will ship within 1 business day from the time they are placed. All Vuori order ship from Southern California. Once processed, standard ground shipments can take as little as 2-3 days to destinations within California and up to five to ten business days to the east coast. Expedited shipments are the exception. Orders must be placed by noon eastern time to be processed same business day.\n\nIf you are not completely satisfied with your purchase, send it back. We are happy to accept returns (we do not accept returns of sale-items) for a refund, or store credit. (If an order is older than 60 days we can only offer store credit).</sectionBody></section></sections>",Vuori-men,Pants,"vuori, best seller, pants",,Title, Default Title,Link,https://vuoriclothing.com/collections/mens/products/ponto-performance-pant-navy-heather,,,,1,,deny,manual,84,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HNV.jpg?v=1562023908,1,,FALSE,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-navy-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HNV_3_56934077-18de-41e8-9cff-88ba2772bfd5.jpg?v=1562023908,2,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-navy-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HNV_1_4d805910-ddd4-4617-bf38-4738380ddc0f.jpg?v=1562023908,3,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-navy-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HNV_2_0df8ab8b-0221-460f-8578-29a27a737a26.jpg?v=1562023908,4,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-navy-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HNV_4_e2ef8ec0-e453-40af-aa84-b36420e22713.jpg?v=1562023908,5,,,,,,,,,,,,,,,,,,,,,
Vuori-men,ponto-performance-pant-navy-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V418HNV_5.jpg?v=1562023908,6,,,,,,,,,,,,,,,,,,,,,
Vuori-men,sunday-performance-jogger-black,Sunday Performance Jogger | Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>A fresh take on athleisure and a staple in your wardrobe, the Sunday Performance Joggers are premier in fit, function and soft stretch. The shorter inseam will keep you moving with less bulk around your ankles; these joggers offer equal parts style and comfort. Great for running, traveling and chilling.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Orders will ship within 1 business day from the time they are placed. All Vuori order ship from Southern California. Once processed, standard ground shipments can take as little as 2-3 days to destinations within California and up to five to ten business days to the east coast. Expedited shipments are the exception. Orders must be placed by noon eastern time to be processed same business day.\n\nIf you are not completely satisfied with your purchase, send it back. We are happy to accept returns (we do not accept returns of sale-items) for a refund, or store credit. (If an order is older than 60 days we can only offer store credit).</sectionBody></section></sections>",Vuori-men,Pants,"vuori, pants",,Title, Default Title,Link,https://vuoriclothing.com/collections/mens/products/sunday-performance-jogger-black,,,,1,,deny,manual,89,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V416BLK_1_8db636dd-62d8-4858-b584-6f193ddf1f05.jpg?v=1554350906,1,,FALSE,,,,,,,,,,,,,,,,,,,
