Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Outerknown-men,ascent-fleece-crew-denim,Ascent Fleece Crew,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>•	Comfy, soft, flexible, warm—we can’t say enough good things about this recycled polyester polar fleece.\n	•	Paired with our sweats, you couldn’t dream up a better outfit to jump into post surf or mountain sesh.\n	•	Great for the house, solid for layering, and, with a modern cut, this crew also looks good with a pair of jeans.\n	•	Dorito stitch detail at neckline and our signature OK patch.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>For all U.S. orders, we offer free standard shipping on orders over $100. Orders placed with standard shipping will arrive in 3-7 business days.\nWe gladly accept returns or exchanges within 30 days of purchase as long as they are in original condition (unworn, unwashed and with tags).</sectionBody></section></sections>",Outerknown-men,Sweatshirts,"outerknown, sweatshirts",,Title, Default Title,Link,https://www.outerknown.com/products/ascent-fleece-crew-denim,,,,1,,deny,manual,78,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1240025_outerknown_ascent_flece_crew_DEN_f_pdp.jpg?v=1571343136,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-crew-denim,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1240025_outerknown_ascentfleececrew_den_0088_pdp.jpg?v=1571343136,2,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-crew-denim,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1240025_outerknown_ascent_flece_crew_DEN_1_pdp.jpg?v=1571343136,3,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-crew-denim,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1240025_outerknown_ascent_flece_crew_DEN_2_pdp.jpg?v=1571343136,4,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-crew-denim,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1240025_outerknown_ascent_flece_crew_DEN_3_pdp.jpg?v=1571343136,5,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-crew-denim,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1240025_outerknown_ascent_flece_crew_DEN_swt.png?v=1571343143,6,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-crew-ember,Ascent Fleece Crew,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>•	Comfy, soft, flexible, warm—we can’t say enough good things about this recycled polyester polar fleece.\n	•	Paired with our sweats, you couldn’t dream up a better outfit to jump into post surf or mountain sesh.\n	•	Great for the house, solid for layering, and, with a modern cut, this crew also looks good with a pair of jeans.\n	•	Dorito stitch detail at neckline and our signature OK patch.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>For all U.S. orders, we offer free standard shipping on orders over $100. Orders placed with standard shipping will arrive in 3-7 business days.\nWe gladly accept returns or exchanges within 30 days of purchase as long as they are in original condition (unworn, unwashed and with tags).</sectionBody></section></sections>",Outerknown-men,Sweatshirts,"outerknown, sweatshirts",,Title, Default Title,Link,https://www.outerknown.com/products/ascent-fleece-crew-ember,,,,1,,deny,manual,78,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1240025_outerknown_ascent_flece_crew_EBR_f_pdp.jpg?v=1571343126,1,,FALSE,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-crew-ember,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1240025_outerknown_ascentfleececrew_ebr_pdp.jpg?v=1571343126,2,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-crew-ember,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1240025_outerknown_ascent_flece_crew_EBR_1_pdp.jpg?v=1571343126,3,,,,,,,,,,,,,,,,,,,,,,
Outerknown-men,ascent-fleece-crew-ember,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/1240025_outerknown_ascent_flece_crew_EBR_2_pdp.jpg?v=1571343126,4,,,,,,,,,,,,,,,,,,,,,,
